epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.6908,0.37363,0.92544,1,0.1945,0.000550792,0.000550792,0.000550792
2,106.467,0.26936,0.90296,1,0.23162,0.00108455,0.00108455,0.00108455
3,154.228,0.25326,0.92544,1,0.18616,0.00159631,0.00159631,0.00159631
4,202.671,0.27565,0.93092,1,0.15687,0.00156798,0.00156798,0.00156798
5,251.269,0.23405,0.91557,1,0.20229,0.00153497,0.00153497,0.00153497
6,298.07,0.217,0.92105,1,0.19014,0.00150197,0.00150197,0.00150197
7,347.463,0.217,0.90077,1,0.26481,0.00146896,0.00146896,0.00146896
8,398.25,0.2067,0.91173,1,0.25592,0.00143595,0.00143595,0.00143595
9,446.923,0.20124,0.88596,1,0.26693,0.00140295,0.00140295,0.00140295
10,501.006,0.20442,0.94408,1,0.1299,0.00136994,0.00136994,0.00136994
11,555.88,0.18688,0.93092,1,0.18404,0.00133693,0.00133693,0.00133693
12,608.181,0.18606,0.94682,1,0.13464,0.00130393,0.00130393,0.00130393
13,657.477,0.18203,0.94792,1,0.11688,0.00127092,0.00127092,0.00127092
14,705.328,0.18805,0.94298,1,0.13151,0.00123791,0.00123791,0.00123791
15,753.227,0.17972,0.93805,1,0.14191,0.00120491,0.00120491,0.00120491
16,802.93,0.18282,0.94792,1,0.13607,0.0011719,0.0011719,0.0011719
17,850.344,0.17274,0.94353,1,0.14587,0.00113889,0.00113889,0.00113889
18,897.694,0.17661,0.95066,1,0.12864,0.00110589,0.00110589,0.00110589
19,947.706,0.17134,0.95614,1,0.10686,0.00107288,0.00107288,0.00107288
20,995.671,0.16107,0.95175,1,0.10833,0.00103987,0.00103987,0.00103987
21,1045.72,0.16119,0.9386,1,0.14092,0.00100687,0.00100687,0.00100687
22,1094.35,0.16615,0.95121,1,0.11749,0.000973861,0.000973861,0.000973861
23,1143.05,0.16025,0.94189,1,0.1276,0.000940855,0.000940855,0.000940855
24,1191.63,0.16648,0.95669,1,0.10992,0.000907848,0.000907848,0.000907848
25,1241.78,0.16255,0.94408,1,0.12896,0.000874842,0.000874842,0.000874842
26,1292.48,0.1578,0.95559,1,0.12255,0.000841835,0.000841835,0.000841835
27,1340.56,0.15708,0.94956,1,0.11021,0.000808828,0.000808828,0.000808828
28,1388.19,0.14664,0.9534,1,0.09776,0.000775822,0.000775822,0.000775822
29,1436.9,0.14714,0.95669,1,0.10024,0.000742815,0.000742815,0.000742815
30,1485.17,0.14659,0.95285,1,0.09361,0.000709809,0.000709809,0.000709809
31,1534.86,0.14451,0.9534,1,0.10351,0.000676802,0.000676802,0.000676802
32,1583.43,0.13901,0.95559,1,0.09622,0.000643795,0.000643795,0.000643795
33,1632.95,0.1451,0.95559,1,0.09855,0.000610789,0.000610789,0.000610789
34,1681.34,0.13877,0.95724,1,0.08867,0.000577782,0.000577782,0.000577782
35,1729.96,0.13125,0.95395,1,0.09591,0.000544776,0.000544776,0.000544776
36,1777.4,0.13207,0.95669,1,0.09633,0.000511769,0.000511769,0.000511769
37,1825.72,0.14049,0.96107,1,0.08313,0.000478762,0.000478762,0.000478762
38,1871.37,0.13493,0.95888,1,0.08613,0.000445756,0.000445756,0.000445756
39,1920.22,0.13676,0.96546,1,0.08366,0.000412749,0.000412749,0.000412749
40,1968.55,0.1381,0.96382,1,0.081,0.000379743,0.000379743,0.000379743
41,2064.12,0.12572,0.95724,1,0.08512,0.000346736,0.000346736,0.000346736
42,2113.29,0.1292,0.95943,1,0.09615,0.000313729,0.000313729,0.000313729
43,2165.14,0.12054,0.96327,1,0.08228,0.000280723,0.000280723,0.000280723
44,2214.88,0.1229,0.96107,1,0.08589,0.000247716,0.000247716,0.000247716
45,2264.8,0.12119,0.96491,1,0.07792,0.00021471,0.00021471,0.00021471
46,2313.08,0.11902,0.96217,1,0.07941,0.000181703,0.000181703,0.000181703
47,2363.35,0.11882,0.96491,1,0.07363,0.000148696,0.000148696,0.000148696
48,2412.04,0.11146,0.96656,1,0.07336,0.00011569,0.00011569,0.00011569
49,2463.85,0.11149,0.96711,1,0.07494,8.26832e-05,8.26832e-05,8.26832e-05
50,2513.13,0.11167,0.96327,1,0.07709,4.96766e-05,4.96766e-05,4.96766e-05
