epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.9652,0.33357,0.94031,1,0.13389,0.000474988,0.000474988,0.000474988
2,132.958,0.20009,0.94638,1,0.12885,0.000932485,0.000932485,0.000932485
3,194.226,0.21613,0.92467,1,0.19984,0.00137112,0.00137112,0.00137112
4,264.203,0.18862,0.92212,1,0.2092,0.00134412,0.00134412,0.00134412
5,335.278,0.19325,0.95531,1,0.13473,0.00131582,0.00131582,0.00131582
6,401.522,0.16006,0.95787,1,0.11397,0.00128753,0.00128753,0.00128753
7,469.746,0.1453,0.94095,1,0.16704,0.00125923,0.00125923,0.00125923
8,533.138,0.16004,0.9368,1,0.15874,0.00123094,0.00123094,0.00123094
9,607.423,0.14728,0.95468,1,0.11419,0.00120265,0.00120265,0.00120265
10,672.204,0.1484,0.96553,1,0.08811,0.00117435,0.00117435,0.00117435
11,737.906,0.14519,0.96297,1,0.1005,0.00114606,0.00114606,0.00114606
12,804.515,0.14204,0.96234,1,0.09594,0.00111776,0.00111776,0.00111776
13,869.84,0.13568,0.95308,1,0.12096,0.00108947,0.00108947,0.00108947
14,940.931,0.14599,0.95946,1,0.11945,0.00106118,0.00106118,0.00106118
15,1006.18,0.1324,0.96074,1,0.09485,0.00103288,0.00103288,0.00103288
16,1073.83,0.12784,0.96457,1,0.08876,0.00100459,0.00100459,0.00100459
17,1143.18,0.12786,0.96425,1,0.08678,0.000976293,0.000976293,0.000976293
18,1208.05,0.12173,0.96425,1,0.09376,0.000947999,0.000947999,0.000947999
19,1274.99,0.12035,0.96106,1,0.09525,0.000919704,0.000919704,0.000919704
20,1341.54,0.12317,0.96138,1,0.07909,0.00089141,0.00089141,0.00089141
21,1408.76,0.12331,0.96776,1,0.07601,0.000863116,0.000863116,0.000863116
22,1471.22,0.12062,0.97032,1,0.07134,0.000834822,0.000834822,0.000834822
23,1535.69,0.11985,0.96553,1,0.07878,0.000806528,0.000806528,0.000806528
24,1601.34,0.11645,0.97,1,0.07391,0.000778233,0.000778233,0.000778233
25,1666.11,0.11221,0.97032,1,0.07276,0.000749939,0.000749939,0.000749939
26,1733.01,0.11099,0.97223,1,0.06675,0.000721645,0.000721645,0.000721645
27,1799.13,0.1095,0.9684,1,0.07026,0.000693351,0.000693351,0.000693351
28,1863.33,0.10682,0.96936,1,0.07076,0.000665057,0.000665057,0.000665057
29,1930.6,0.10306,0.97064,1,0.06809,0.000636762,0.000636762,0.000636762
30,1996.01,0.10237,0.97255,1,0.06069,0.000608468,0.000608468,0.000608468
31,2062.14,0.1036,0.97127,1,0.06554,0.000580174,0.000580174,0.000580174
32,2132.32,0.1007,0.97032,1,0.07062,0.00055188,0.00055188,0.00055188
33,2197.14,0.10161,0.97319,1,0.06293,0.000523586,0.000523586,0.000523586
34,2263.75,0.09568,0.97478,1,0.06163,0.000495291,0.000495291,0.000495291
35,2328.5,0.09312,0.97351,1,0.06132,0.000466997,0.000466997,0.000466997
36,2395.49,0.09462,0.97478,1,0.05857,0.000438703,0.000438703,0.000438703
37,2461.03,0.08939,0.97574,1,0.06008,0.000410409,0.000410409,0.000410409
38,2523.87,0.09536,0.9751,1,0.05845,0.000382115,0.000382115,0.000382115
39,2590.27,0.09018,0.9751,1,0.05799,0.00035382,0.00035382,0.00035382
40,2656,0.09625,0.9751,1,0.05595,0.000325526,0.000325526,0.000325526
41,2778.05,0.10229,0.97574,1,0.05498,0.000297232,0.000297232,0.000297232
42,2846.08,0.10238,0.97574,1,0.05639,0.000268938,0.000268938,0.000268938
43,2914.11,0.08327,0.97287,1,0.05597,0.000240644,0.000240644,0.000240644
44,2981.55,0.08232,0.97447,1,0.05497,0.000212349,0.000212349,0.000212349
45,3049.22,0.08562,0.97542,1,0.05275,0.000184055,0.000184055,0.000184055
46,3116.2,0.08418,0.97638,1,0.05161,0.000155761,0.000155761,0.000155761
47,3183.82,0.08193,0.97383,1,0.05317,0.000127467,0.000127467,0.000127467
48,3249.76,0.08326,0.97574,1,0.0534,9.91726e-05,9.91726e-05,9.91726e-05
49,3315.43,0.07276,0.9767,1,0.05191,7.08784e-05,7.08784e-05,7.08784e-05
50,3383.43,0.07686,0.97606,1,0.05134,4.25842e-05,4.25842e-05,4.25842e-05
