epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.8704,0.36958,0.91447,1,0.22159,0.00055323,0.00055323,0.00055323
2,101.384,0.28687,0.87336,1,0.34082,0.00108694,0.00108694,0.00108694
3,151.129,0.29123,0.88213,1,0.25068,0.00159865,0.00159865,0.00159865
4,198.992,0.26454,0.9205,1,0.1693,0.00156798,0.00156798,0.00156798
5,247.082,0.24628,0.91667,1,0.21205,0.00153497,0.00153497,0.00153497
6,295.911,0.23463,0.92599,1,0.16592,0.00150197,0.00150197,0.00150197
7,343.431,0.22399,0.93805,1,0.20264,0.00146896,0.00146896,0.00146896
8,391.262,0.21768,0.91393,1,0.20583,0.00143595,0.00143595,0.00143595
9,438.912,0.21184,0.91228,1,0.20492,0.00140295,0.00140295,0.00140295
10,485.329,0.20695,0.94298,1,0.13051,0.00136994,0.00136994,0.00136994
11,531.988,0.19552,0.94189,1,0.14443,0.00133693,0.00133693,0.00133693
12,580.671,0.1994,0.93695,1,0.15567,0.00130393,0.00130393,0.00130393
13,626.324,0.18406,0.93969,1,0.15018,0.00127092,0.00127092,0.00127092
14,674.138,0.19289,0.93914,1,0.13507,0.00123791,0.00123791,0.00123791
15,723.459,0.17812,0.93805,1,0.13426,0.00120491,0.00120491,0.00120491
16,770.826,0.18659,0.94079,1,0.13749,0.0011719,0.0011719,0.0011719
17,818.944,0.17254,0.94792,1,0.12441,0.00113889,0.00113889,0.00113889
18,867.636,0.18353,0.94353,1,0.1257,0.00110589,0.00110589,0.00110589
19,914.787,0.16905,0.94079,1,0.13271,0.00107288,0.00107288,0.00107288
20,961.714,0.1765,0.94846,1,0.11842,0.00103987,0.00103987,0.00103987
21,1009.66,0.1723,0.95559,1,0.11337,0.00100687,0.00100687,0.00100687
22,1057.37,0.16764,0.95395,1,0.10584,0.000973861,0.000973861,0.000973861
23,1105.3,0.16352,0.95614,1,0.10662,0.000940855,0.000940855,0.000940855
24,1153.62,0.16618,0.95559,1,0.10642,0.000907848,0.000907848,0.000907848
25,1201.81,0.16341,0.9545,1,0.12374,0.000874842,0.000874842,0.000874842
26,1250.16,0.17227,0.9523,1,0.11838,0.000841835,0.000841835,0.000841835
27,1296.92,0.15697,0.95888,1,0.09778,0.000808828,0.000808828,0.000808828
28,1347.97,0.15305,0.95779,1,0.10156,0.000775822,0.000775822,0.000775822
29,1396.6,0.14996,0.9534,1,0.11412,0.000742815,0.000742815,0.000742815
30,1451.39,0.1489,0.95888,1,0.09711,0.000709809,0.000709809,0.000709809
31,1499.55,0.14599,0.95888,1,0.09021,0.000676802,0.000676802,0.000676802
32,1546.9,0.14636,0.95285,1,0.10018,0.000643795,0.000643795,0.000643795
33,1595.79,0.15018,0.95779,1,0.09584,0.000610789,0.000610789,0.000610789
34,1642.3,0.1351,0.95724,1,0.10269,0.000577782,0.000577782,0.000577782
35,1691.64,0.14385,0.96327,1,0.09315,0.000544776,0.000544776,0.000544776
36,1740.4,0.14436,0.96272,1,0.08938,0.000511769,0.000511769,0.000511769
37,1787.11,0.13791,0.96162,1,0.08969,0.000478762,0.000478762,0.000478762
38,1836.66,0.13276,0.96162,1,0.08972,0.000445756,0.000445756,0.000445756
39,1884.18,0.12871,0.96107,1,0.08086,0.000412749,0.000412749,0.000412749
40,1935.02,0.1302,0.96765,1,0.08304,0.000379743,0.000379743,0.000379743
41,2023.1,0.13281,0.97094,1,0.07751,0.000346736,0.000346736,0.000346736
42,2070.77,0.12695,0.96491,1,0.07594,0.000313729,0.000313729,0.000313729
43,2119.32,0.13114,0.96875,1,0.07469,0.000280723,0.000280723,0.000280723
44,2167.85,0.12189,0.97039,1,0.07673,0.000247716,0.000247716,0.000247716
45,2216.01,0.12798,0.96436,1,0.07643,0.00021471,0.00021471,0.00021471
46,2264.64,0.12264,0.96382,1,0.07564,0.000181703,0.000181703,0.000181703
47,2312.88,0.12178,0.9682,1,0.07414,0.000148696,0.000148696,0.000148696
48,2361.08,0.11606,0.96656,1,0.07358,0.00011569,0.00011569,0.00011569
49,2409.44,0.11591,0.96875,1,0.07559,8.26832e-05,8.26832e-05,8.26832e-05
50,2457.84,0.11586,0.9693,1,0.07248,4.96766e-05,4.96766e-05,4.96766e-05
